sample	depth
EHI01966	28005
EHI01967	119193
EHI01968	31670
EHI01970	28811
EHI01979	5173
EHI01982	236100
EHI01985	15059
EHI01989	16023
EHI01992	12040
EHI01995	183445
EHI02065	24202
EHI02067	1726402
EHI02079	206769
EHI02088	488071
EHI02097	121263
EHI02105	1138107
EHI02582	1927
EHI02584	11261
EHI02585	50908
EHI02587	190648
EHI02592	69581
EHI02598	6703
EHI02602	15255
EHI02603	462555
EHI02607	38153
EHI02612	18982
EHI02615	5460
EHI02617	20647
EHI02619	11311
EHI02624	62925
EHI02630	17051
EHI02632	91899
EHI02633	157240
EHI02639	201886
EHI02697	16289171
EHI02951	11311402
EHI02953	20766422
EHI02954	10132505
EHI02955	11377121
EHI02957	10597832
EHI02965	3911736
EHI02972	9063908
EHI02973	8025530
EHI02975	9390006
EHI02976	14998244
EHI02977	8374116
EHI02979	18610778
EHI02980	11767825
EHI02981	10555518
EHI02982	14340371
EHI02983	11476387
EHI02984	3949074
EHI02985	6618876
EHI02986	11851678
EHI02987	1863877
EHI02988	14258846
